[Fri Jul 17 01:43:14 UTC 2026] START shard=11 gpu=3 adapt_tm2awareq1s1_finger_seed4_ckpt500000[[Fri Jul 17 01:43:14 UTC 2026] waiting for concurrent bridge of /workspace/dreamerv3_runs/tm2_data/finger_q1_side1.pt[[Fri Jul 17 01:43:44 UTC 2026] offline_fit WM_RUN=tm2wm_finger_awareq1s1_seed4 ARM=aware DATA=/workspace/dreamerv3_runs/tm2_data/finger_q1_side1.pt UPDATES=500000 SEED=4/workspace/conda_envs/tdmpc2/lib/python3.11/site-packages/tensordict/_td.py:612: FutureWarning: TensorDict.to_module() is replacing an existing nn.Parameter in the destination module with a tensor leaf that is not an nn.Parameter. This historical behavior can remove the key from module.state_dict(). In tensordict v0.14, to_module() will preserve existing module parameter and buffer registrations by default. Pass preserve_module_state=False to keep the current replacement behavior, or preserve_module_state=True to opt in to the v0.14 behavior now.
  local_out = _set_tensor_dict(
Episode length: 1000
Discount factor: 0.995
Buffer capacity: 200,200
Storage required: 0.01 GB
Using CUDA:0 memory for storage.
[92m2026-07-17 01:43:49,412 [torchrl][INFO][0m    Initialized LazyTensorStorage with torch.Size([200200]) shape[92m [END][0m
Loaded static data: 200 eps x 1001 rows = 200200 rows; arm=aware (reward_coef=0.1, value_coef=0.1)
  update      1/500000: consistency_loss=0.0156  pi_loss=-0.0000  reward_loss=2.6922  total_loss=0.8514  value_loss=2.6922
  update    500/500000: consistency_loss=0.0017  pi_loss=-0.5945  reward_loss=0.1863  total_loss=0.0915  value_loss=0.3817
  update   1000/500000: consistency_loss=0.0011  pi_loss=-0.3061  reward_loss=0.1889  total_loss=0.0814  value_loss=0.4018
   update   1500/500000: consistency_loss=0.0008  pi_loss=-0.2332  reward_loss=0.1481  total_loss=0.0702  value_loss=0.3886   update   2000/500000: consistency_loss=0.0009  pi_loss=-0.2044  reward_loss=0.1507  total_loss=0.0737  value_loss=0.4037   update   2500/500000: consistency_loss=0.0007  pi_loss=-0.1827  reward_loss=0.1323  total_loss=0.0727  value_loss=0.4500   update   3000/500000: consistency_loss=0.0008  pi_loss=-0.1976  reward_loss=0.1433  total_loss=0.0724  value_loss=0.4211   update   3500/500000: consistency_loss=0.0006  pi_loss=-0.2087  reward_loss=0.1668  total_loss=0.0672  value_loss=0.3848
  update   4000/500000: consistency_loss=0.0007  pi_loss=-0.1792  reward_loss=0.1462  total_loss=0.0826  value_loss=0.5394
  update   4500/500000: consistency_loss=0.0006  pi_loss=-0.2121  reward_loss=0.1590  total_loss=0.0724  value_loss=0.4488
  update   5000/500000: consistency_loss=0.0007  pi_loss=-0.2037  reward_loss=0.1405  total_loss=0.0748  value_loss=0.4749
  update   5500/500000: consistency_loss=0.0005  pi_loss=-0.2188  reward_loss=0.1567  total_loss=0.0652  value_loss=0.3957
  update   6000/500000: consistency_loss=0.0005  pi_loss=-0.2142  reward_loss=0.1534  total_loss=0.0680  value_loss=0.4214
  update   6500/500000: consistency_loss=0.0004  pi_loss=-0.2059  reward_loss=0.1473  total_loss=0.0529  value_loss=0.2991
  update   7000/500000: consistency_loss=0.0006  pi_loss=-0.1806  reward_loss=0.1275  total_loss=0.0596  value_loss=0.3578
  update   7500/500000: consistency_loss=0.0005  pi_loss=-0.2069  reward_loss=0.1482  total_loss=0.0629  value_loss=0.3866
  update   8000/500000: consistency_loss=0.0006  pi_loss=-0.1971  reward_loss=0.1594  total_loss=0.0684  value_loss=0.4061
  update   8500/500000: consistency_loss=0.0004  pi_loss=-0.2065  reward_loss=0.1551  total_loss=0.0658  value_loss=0.4289
  update   9000/500000: consistency_loss=0.0004  pi_loss=-0.2132  reward_loss=0.1518  total_loss=0.0687  value_loss=0.4469
  update   9500/500000: consistency_loss=0.0005  pi_loss=-0.2008  reward_loss=0.1424  total_loss=0.0621  value_loss=0.3852
  update  10000/500000: consistency_loss=0.0004  pi_loss=-0.2130  reward_loss=0.1408  total_loss=0.0575  value_loss=0.3636
